Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-S1","skgo/ExampleSpaBucket/Resource","Suppressed","The S3 Bucket has server access logs disabled––Not a concern for example stack","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","skgo/ExampleSpaBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","skgo/ExampleSpaBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","skgo/ExampleSpaBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","skgo/ExampleSpaBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-CFR1","skgo/ExampleSpaDistribution/Resource","Suppressed","The CloudFront distribution may require Geo restrictions.––No concern for example stack","Warning","The CloudFront distribution may require Geo restrictions."
"AwsSolutions-CFR2","skgo/ExampleSpaDistribution/Resource","Suppressed","The CloudFront distribution may require integration with AWS WAF.––No concern for example stack","Warning","The CloudFront distribution may require integration with AWS WAF."
"AwsSolutions-CFR3","skgo/ExampleSpaDistribution/Resource","Suppressed","The CloudFront distribution does not have access logging enabled.––No concern for example stack","Error","The CloudFront distribution does not have access logging enabled."
"AwsSolutions-CFR4","skgo/ExampleSpaDistribution/Resource","Suppressed","The CloudFront distribution allows for SSLv3 or TLSv1 for HTTPS viewer connections.––No concern for example stack","Error","The CloudFront distribution allows for SSLv3 or TLSv1 for HTTPS viewer connections."
"AwsSolutions-CFR5","skgo/ExampleSpaDistribution/Resource","Compliant","N/A","Error","The CloudFront distributions uses SSLv3 or TLSv1 for communication to the origin."
"AwsSolutions-CFR6","skgo/ExampleSpaDistribution/Resource","Compliant","N/A","Error","The CloudFront distribution does not use an origin access identity with an S3 origin."
"AwsSolutions-KMS5","skgo/Passwordless/KmsKeyRsaPasswordless/Resource","Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-IAM4","skgo/Passwordless/PreSignupPasswordless/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] Allow curated list of Managed Policies","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","skgo/Passwordless/PreSignupPasswordless/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","skgo/Passwordless/PreSignupPasswordless/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","skgo/Passwordless/CreateAuthChallengePasswordless/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] Allow curated list of Managed Policies","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","skgo/Passwordless/CreateAuthChallengePasswordless/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","skgo/Passwordless/CreateAuthChallengePasswordless/ServiceRole/DefaultPolicy/Resource","Suppressed","[Resource::<Fido2AuthenticatorsTablePasswordlessBDEAEEE6.Arn>/index/*] Allow query table indexes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","skgo/Passwordless/CreateAuthChallengePasswordless/ServiceRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:<AWS::Partition>:ses:<AWS::Region>:<AWS::AccountId>:identity/*] Allow ses:sendMail to *","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","skgo/Passwordless/CreateAuthChallengePasswordless/ServiceRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:<AWS::Partition>:kms:<AWS::Region>:<AWS::AccountId>:key/*] Allow signing with *any* key via its alias","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","skgo/Passwordless/CreateAuthChallengePasswordless/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","skgo/Passwordless/VerifyAuthChallengeResponsePasswordless/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] Allow curated list of Managed Policies","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","skgo/Passwordless/VerifyAuthChallengeResponsePasswordless/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","skgo/Passwordless/VerifyAuthChallengeResponsePasswordless/ServiceRole/DefaultPolicy/Resource","Suppressed","[Resource::<Fido2AuthenticatorsTablePasswordlessBDEAEEE6.Arn>/index/*] Allow query table indexes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","skgo/Passwordless/VerifyAuthChallengeResponsePasswordless/ServiceRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:<AWS::Partition>:kms:<AWS::Region>:<AWS::AccountId>:key/*] Allow signing with *any* key via its alias","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","skgo/Passwordless/VerifyAuthChallengeResponsePasswordless/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
